Date,UMCSENT,Date_String,Retail_Price,Refining,Distribution_and_Marketing,Taxes,Crude_Oil,Type,Year,Month
2000-01-01,112.0,Jan-00,1.289,7.8,13.0,32.1,47.1,Regular,2000,1
2000-02-01,111.3,Feb-00,1.377,17.9,7.5,30.1,44.6,Regular,2000,2
2000-03-01,107.1,Mar-00,1.517,15.4,12.8,27.3,44.6,Regular,2000,3
2000-04-01,109.2,Apr-00,1.465,10.1,20.2,28.3,41.4,Regular,2000,4
2000-05-01,110.7,May-00,1.485,20.2,9.2,27.9,42.7,Regular,2000,5
2000-06-01,106.4,Jun-00,1.633,22.2,8.8,25.8,43.1,Regular,2000,6
2000-07-01,108.3,Jul-00,1.551,13.2,15.8,27.2,43.8,Regular,2000,7
2000-08-01,107.3,Aug-00,1.465,15.8,7.5,28.8,47.8,Regular,2000,8
2000-09-01,106.8,Sept-00,1.55,15.4,9.0,27.2,48.3,Regular,2000,9
2000-10-01,105.8,Oct-00,1.532,13.7,10.1,27.5,48.6,Regular,2000,10
2000-11-01,107.6,Nov-00,1.517,10.4,11.8,27.8,50.0,Regular,2000,11
2000-12-01,98.4,Dec-00,1.443,8.0,17.9,29.2,44.8,Regular,2000,12
2001-01-01,94.7,Jan-01,1.447,17.8,10.4,29.2,42.7,Regular,2001,1
2001-02-01,90.6,Feb-01,1.45,17.3,11.0,29.1,42.6,Regular,2001,2
2001-03-01,91.5,Mar-01,1.409,18.8,9.7,30.0,41.5,Regular,2001,3
2001-04-01,88.4,Apr-01,1.552,31.6,4.6,27.1,36.7,Regular,2001,4
2001-05-01,92.0,May-01,1.702,26.4,14.0,24.7,35.0,Regular,2001,5
2001-06-01,92.6,Jun-01,1.616,13.2,24.1,26.0,36.7,Regular,2001,6
2001-07-01,92.4,Jul-01,1.421,10.0,20.0,30.0,40.0,Regular,2001,7
2001-08-01,91.5,Aug-01,1.421,20.0,9.0,30.0,41.0,Regular,2001,8
2001-09-01,81.8,Sept-01,1.522,18.0,17.0,28.0,37.0,Regular,2001,9
2001-10-01,82.7,Oct-01,1.315,10.0,20.8,31.9,37.2,Regular,2001,10
2001-11-01,83.9,Nov-01,1.171,10.0,18.0,36.0,36.0,Regular,2001,11
2001-12-01,88.8,Dec-01,1.086,11.7,12.7,38.7,36.9,Regular,2001,12
2002-01-01,93.0,Jan-02,1.107,13.0,11.8,37.9,37.2,Regular,2002,1
2002-02-01,90.7,Feb-02,1.114,12.1,11.2,37.7,39.1,Regular,2002,2
2002-03-01,95.7,Mar-02,1.249,19.4,6.1,33.6,40.9,Regular,2002,3
2002-04-01,93.0,Apr-02,1.397,15.5,13.0,30.1,41.4,Regular,2002,4
2002-05-01,96.9,May-02,1.392,11.9,14.2,30.2,43.7,Regular,2002,5
2002-06-01,92.4,Jun-02,1.382,15.0,13.0,30.4,41.6,Regular,2002,6
2002-07-01,88.1,Jul-02,1.397,15.0,12.6,30.1,42.3,Regular,2002,7
2002-08-01,87.6,Aug-02,1.396,11.4,13.4,30.0,45.0,Regular,2002,8
2002-09-01,86.1,Sept-02,1.4,10.8,12.6,30.0,46.7,Regular,2002,9
2002-10-01,80.6,Oct-02,1.445,13.9,11.7,29.1,45.3,Regular,2002,10
2002-11-01,84.2,Nov-02,1.419,11.1,18.0,29.6,41.3,Regular,2002,11
2002-12-01,86.7,Dec-02,1.386,11.7,12.3,30.3,45.7,Regular,2002,12
2003-01-01,82.4,Jan-03,1.458,11.5,10.3,28.8,49.4,Regular,2003,1
2003-02-01,79.9,Feb-03,1.613,15.0,9.5,26.0,49.5,Regular,2003,2
2003-03-01,77.6,Mar-03,1.693,14.8,14.8,24.8,45.5,Regular,2003,3
2003-04-01,86.0,Apr-03,1.589,13.2,19.8,26.4,40.5,Regular,2003,4
2003-05-01,92.1,May-03,1.497,15.3,16.3,28.1,40.4,Regular,2003,5
2003-06-01,89.7,Jun-03,1.493,15.1,12.3,28.1,44.5,Regular,2003,6
2003-07-01,90.9,Jul-03,1.513,15.3,11.9,27.8,44.9,Regular,2003,7
2003-08-01,89.3,Aug-03,1.62,22.5,8.2,25.9,43.3,Regular,2003,8
2003-09-01,87.7,Sept-03,1.679,13.9,22.7,25.0,38.3,Regular,2003,9
2003-10-01,89.6,Oct-03,1.564,14.9,16.1,26.9,42.2,Regular,2003,10
2003-11-01,93.7,Nov-03,1.512,11.7,15.3,27.8,45.2,Regular,2003,11
2003-12-01,92.6,Dec-03,1.479,11.5,12.6,28.4,47.5,Regular,2003,12
2004-01-01,103.8,Jan-04,1.572,15.9,9.9,26.7,47.5,Regular,2004,1
2004-02-01,94.4,Feb-04,1.648,19.1,9.2,25.5,46.2,Regular,2004,2
2004-03-01,95.8,Mar-04,1.736,19.0,11.3,24.2,45.5,Regular,2004,3
2004-04-01,94.2,Apr-04,1.798,22.0,9.9,23.4,44.6,Regular,2004,4
2004-05-01,90.2,May-04,1.983,30.6,7.8,21.2,40.4,Regular,2004,5
2004-06-01,95.6,Jun-04,1.969,21.3,16.7,21.3,40.7,Regular,2004,6
2004-07-01,96.7,Jul-04,1.911,20.9,11.3,21.9,45.8,Regular,2004,7
2004-08-01,95.9,Aug-04,1.878,13.9,12.2,22.4,51.5,Regular,2004,8
2004-09-01,94.2,Sept-04,1.87,14.8,9.1,22.5,53.6,Regular,2004,9
2004-10-01,91.7,Oct-04,2.0,13.0,9.3,21.0,56.7,Regular,2004,10
2004-11-01,92.8,Nov-04,1.979,10.7,14.6,21.2,53.6,Regular,2004,11
2004-12-01,97.1,Dec-04,1.841,8.9,18.1,23.9,49.1,Regular,2004,12
2005-01-01,95.5,Jan-05,1.831,17.7,7.3,24.0,50.9,Regular,2005,1
2005-02-01,94.1,Feb-05,1.91,16.1,9.3,23.0,51.6,Regular,2005,2
2005-03-01,92.6,Mar-05,2.079,19.3,6.2,21.2,53.4,Regular,2005,3
2005-04-01,87.7,Apr-05,2.243,20.9,9.6,19.6,49.8,Regular,2005,4
2005-05-01,86.9,May-05,2.161,17.9,12.8,20.4,49.0,Regular,2005,5
2005-06-01,96.0,Jun-05,2.156,18.5,6.9,20.4,54.2,Regular,2005,6
2005-07-01,96.5,Jul-05,2.29,17.9,8.0,19.2,54.9,Regular,2005,7
2005-08-01,89.1,Aug-05,2.486,24.3,2.1,17.7,55.9,Regular,2005,8
2005-09-01,76.9,Sept-05,2.903,27.3,7.5,15.2,50.0,Regular,2005,9
2005-10-01,74.2,Oct-05,2.717,15.1,17.8,16.2,50.9,Regular,2005,10
2005-11-01,81.6,Nov-05,2.257,8.3,13.1,19.5,57.1,Regular,2005,11
2005-12-01,91.5,Dec-05,2.185,13.5,7.9,20.1,58.4,Regular,2005,12
2006-01-01,91.2,Jan-06,2.316,13.4,6.6,19.8,60.1,Regular,2006,1
2006-02-01,86.7,Feb-06,2.28,9.8,11.4,20.1,58.6,Regular,2006,2
2006-03-01,88.9,Mar-06,2.425,21.7,4.5,18.9,54.8,Regular,2006,3
2006-04-01,87.4,Apr-06,2.742,25.8,3.1,16.7,54.2,Regular,2006,4
2006-05-01,79.1,May-06,2.907,21.9,8.8,15.8,53.4,Regular,2006,5
2006-06-01,84.9,Jun-06,2.885,22.0,7.9,15.9,54.1,Regular,2006,6
2006-07-01,84.7,Jul-06,2.981,26.3,6.3,15.4,52.0,Regular,2006,7
2006-08-01,82.0,Aug-06,2.952,15.2,13.5,15.9,55.4,Regular,2006,8
2006-09-01,85.4,Sept-06,2.555,6.3,18.8,18.3,56.7,Regular,2006,9
2006-10-01,93.6,Oct-06,2.245,10.9,10.6,20.8,57.7,Regular,2006,10
2006-11-01,92.1,Nov-06,2.229,14.6,7.5,20.4,57.5,Regular,2006,11
2006-12-01,91.7,Dec-06,2.313,12.9,9.4,19.7,58.0,Regular,2006,12
2007-01-01,96.9,Jan-07,2.24,10.6,15.2,20.3,53.9,Regular,2007,1
2007-02-01,91.3,Feb-07,2.278,18.0,5.8,20.0,56.3,Regular,2007,2
2007-03-01,88.4,Mar-07,2.563,23.6,8.5,15.5,52.3,Regular,2007,3
2007-04-01,87.1,Apr-07,2.845,28.1,7.6,14.0,50.3,Regular,2007,4
2007-05-01,88.3,May-07,3.146,27.9,13.3,12.7,46.1,Regular,2007,5
2007-06-01,85.3,Jun-07,3.056,22.7,13.7,13.0,50.5,Regular,2007,6
2007-07-01,90.4,Jul-07,2.965,18.4,11.4,13.4,56.8,Regular,2007,7
2007-08-01,83.4,Aug-07,2.786,13.5,11.8,14.3,60.4,Regular,2007,8
2007-09-01,83.4,Sept-07,2.803,12.8,8.6,14.2,64.3,Regular,2007,9
2007-10-01,80.9,Oct-07,2.803,10.1,8.1,14.2,67.6,Regular,2007,10
2007-11-01,76.1,Nov-07,3.08,10.0,8.7,13.0,68.3,Regular,2007,11
2007-12-01,75.5,Dec-07,3.018,8.1,10.5,13.2,68.1,Regular,2007,12
2008-01-01,78.4,Jan-08,3.043,7.8,11.1,13.1,67.9,Regular,2008,1
2008-02-01,70.8,Feb-08,3.028,9.9,7.2,13.2,69.7,Regular,2008,2
2008-03-01,69.5,Mar-08,3.244,8.0,7.9,12.3,71.8,Regular,2008,3
2008-04-01,62.6,Apr-08,3.458,10.0,5.8,11.5,72.7,Regular,2008,4
2008-05-01,59.8,May-08,3.766,10.0,4.7,10.6,74.7,Regular,2008,5
2008-06-01,56.4,Jun-08,4.054,8.5,6.8,9.8,74.8,Regular,2008,6
2008-07-01,61.2,Jul-08,4.062,3.2,11.2,9.8,75.8,Regular,2008,7
2008-08-01,63.0,Aug-08,3.779,6.1,10.2,10.6,73.1,Regular,2008,8
2008-09-01,70.3,Sept-08,3.703,14.2,8.2,10.8,66.8,Regular,2008,9
2008-10-01,57.6,Oct-08,3.051,3.3,25.0,13.1,58.6,Regular,2008,10
2008-11-01,55.3,Nov-08,2.147,-3.7,24.7,18.6,60.4,Regular,2008,11
2008-12-01,60.1,Dec-08,1.687,0.7,19.5,23.6,56.2,Regular,2008,12
2009-01-01,61.2,Jan-09,1.788,13.4,10.7,22.3,53.6,Regular,2009,1
2009-02-01,56.3,Feb-09,1.923,16.8,14.9,20.7,47.6,Regular,2009,2
2009-03-01,57.3,Mar-09,1.959,12.0,12.3,20.4,55.3,Regular,2009,3
2009-04-01,65.1,Apr-09,2.049,12.0,12.1,19.5,56.4,Regular,2009,4
2009-05-01,68.7,May-09,2.266,17.6,-3.9,19.5,66.8,Regular,2009,5
2009-06-01,70.8,Jun-09,2.631,13.7,10.3,15.1,60.9,Regular,2009,6
2009-07-01,66.0,Jul-09,2.527,10.1,14.0,15.8,60.1,Regular,2009,7
2009-08-01,65.7,Aug-09,2.616,11.0,9.7,15.4,63.9,Regular,2009,8
2009-09-01,73.5,Sept-09,2.554,6.7,13.5,15.7,64.0,Regular,2009,9
2009-10-01,70.6,Oct-09,2.551,6.5,9.1,15.7,68.6,Regular,2009,10
2009-11-01,67.4,Nov-09,2.651,4.0,11.7,15.1,69.0,Regular,2009,11
2009-12-01,72.5,Dec-09,2.607,6.6,11.2,15.4,66.6,Regular,2009,12
2010-01-01,74.4,Jan-10,2.715,5.0,10.9,14.7,69.1,Regular,2010,1
2010-02-01,73.6,Feb-10,2.644,5.9,9.8,15.1,69.0,Regular,2010,2
2010-03-01,73.6,Mar-10,2.772,9.3,7.5,14.4,68.5,Regular,2010,3
2010-04-01,72.2,Apr-10,2.848,10.4,6.9,14.1,68.4,Regular,2010,4
2010-05-01,73.6,May-10,2.836,8.4,13.3,14.2,63.9,Regular,2010,5
2010-06-01,76.0,Jun-10,2.732,9.4,10.0,14.7,65.6,Regular,2010,6
2010-07-01,67.8,Jul-10,2.729,9.4,9.5,14.8,66.1,Regular,2010,7
2010-08-01,68.9,Aug-10,2.73,5.7,11.9,14.8,67.4,Regular,2010,8
2010-09-01,68.2,Sept-10,2.705,6.5,11.3,14.9,67.1,Regular,2010,9
2010-10-01,67.7,Oct-10,2.801,5.3,9.7,14.4,70.5,Regular,2010,10
2010-11-01,71.6,Nov-10,2.859,4.4,10.2,14.1,71.1,Regular,2010,11
2010-12-01,74.5,Dec-10,2.993,9.9,8.4,13.5,68.1,Regular,2010,12
2011-01-01,74.2,Jan-11,3.095,10.6,9.1,13.0,67.0,Regular,2011,1
2011-02-01,77.5,Feb-11,3.211,14.2,7.9,12.5,65.2,Regular,2011,2
2011-03-01,67.5,Mar-11,3.561,13.1,7.2,11.3,68.3,Regular,2011,3
2011-04-01,69.8,Apr-11,3.8,15.7,4.8,10.6,68.7,Regular,2011,4
2011-05-01,74.3,May-11,3.906,14.1,10.2,10.3,65.2,Regular,2011,5
2011-06-01,71.5,Jun-11,3.68,11.5,10.9,10.9,66.5,Regular,2011,6
2011-07-01,63.7,Jul-11,3.65,14.8,6.3,11.0,67.7,Regular,2011,7
2011-08-01,55.8,Aug-11,3.639,15.9,10.4,11.1,62.5,Regular,2011,8
2011-09-01,59.5,Sept-11,3.611,14.0,12.2,11.1,62.5,Regular,2011,9
2011-10-01,60.8,Oct-11,3.448,10.9,8.7,11.7,68.5,Regular,2011,10
2011-11-01,63.7,Nov-11,3.384,-0.5,11.8,11.9,76.7,Regular,2011,11
2011-12-01,69.9,Dec-11,3.266,-1.5,9.0,12.3,80.0,Regular,2011,12
2012-01-01,75.0,Jan-12,3.38,6.0,6.4,11.9,75.5,Regular,2012,1
2012-02-01,75.3,Feb-12,3.579,11.8,5.2,11.2,71.5,Regular,2012,2
2012-03-01,76.2,Mar-12,3.852,15.7,5.9,10.8,67.4,Regular,2012,3
2012-04-01,76.4,Apr-12,3.9,14.6,8.4,10.6,66.1,Regular,2012,4
2012-05-01,79.3,May-12,3.732,13.0,10.3,11.1,65.4,Regular,2012,5
2012-06-01,73.2,Jun-12,3.539,11.8,14.4,11.7,61.9,Regular,2012,6
2012-07-01,72.3,Jul-12,3.439,14.9,7.9,12.1,64.9,Regular,2012,7
2012-08-01,74.3,Aug-12,3.722,17.5,7.1,11.2,64.0,Regular,2012,8
2012-09-01,78.3,Sept-12,3.849,17.9,8.8,10.8,62.2,Regular,2012,9
2012-10-01,82.6,Oct-12,3.746,12.0,12.8,11.1,64.0,Regular,2012,10
2012-11-01,82.7,Nov-12,3.452,9.2,11.9,12.1,66.6,Regular,2012,11
2012-12-01,72.9,Dec-12,3.31,8.0,11.3,12.6,68.0,Regular,2012,12
2013-01-01,73.8,Jan-13,3.319,8.5,6.9,12.6,71.8,Regular,2013,1
2013-02-01,77.6,Feb-13,3.67,15.0,6.8,11.4,66.7,Regular,2013,2
2013-03-01,78.6,Mar-13,3.711,15.9,9.5,11.3,63.3,Regular,2013,3
2013-04-01,76.4,Apr-13,3.57,12.5,10.4,11.7,65.4,Regular,2013,4
2013-05-01,84.5,May-13,3.615,13.6,8.3,11.6,66.5,Regular,2013,5
2013-06-01,84.1,Jun-13,3.626,11.9,11.0,11.5,65.6,Regular,2013,6
2013-07-01,85.1,Jul-13,3.591,11.7,6.6,11.7,70.0,Regular,2013,7
2013-08-01,82.1,Aug-13,3.574,9.8,7.6,11.7,70.9,Regular,2013,8
2013-09-01,77.5,Sept-13,3.532,6.2,11.1,11.9,70.8,Regular,2013,9
2013-10-01,73.2,Oct-13,3.344,5.1,11.0,12.5,71.4,Regular,2013,10
2013-11-01,75.1,Nov-13,3.243,7.6,10.6,12.9,68.9,Regular,2013,11
2013-12-01,82.5,Dec-13,3.276,9.3,9.9,12.8,68.1,Regular,2013,12
2014-01-01,81.2,Jan-14,3.313,10.0,10.3,12.7,67.0,Regular,2014,1
2014-02-01,81.6,Feb-14,3.356,11.5,6.4,12.6,69.5,Regular,2014,2
2014-03-01,80.0,Mar-14,3.533,11.7,9.3,12.0,66.9,Regular,2014,3
2014-04-01,84.1,Apr-14,3.661,13.6,9.5,11.6,65.2,Regular,2014,4
2014-05-01,81.9,May-14,3.673,12.7,10.5,11.6,65.3,Regular,2014,5
2014-06-01,82.5,Jun-14,3.692,13.6,8.2,11.5,66.6,Regular,2014,6
2014-07-01,81.8,Jul-14,3.611,11.4,11.2,11.8,65.6,Regular,2014,7
2014-08-01,82.5,Aug-14,3.487,12.6,10.2,12.2,65.0,Regular,2014,8
2014-09-01,84.6,Sept-14,3.406,13.6,9.7,12.5,64.2,Regular,2014,9
2014-10-01,86.9,Oct-14,3.171,8.1,15.1,13.4,63.4,Regular,2014,10
2014-11-01,88.8,Nov-14,2.912,5.5,17.4,14.6,62.4,Regular,2014,11
2014-12-01,93.6,Dec-14,2.543,1.0,25.5,16.7,56.7,Regular,2014,12
2015-01-01,98.1,Jan-15,2.116,6.3,19.9,20.1,53.7,Regular,2015,1
2015-02-01,95.4,Feb-15,2.216,22.5,5.7,20.4,51.3,Regular,2015,2
2015-03-01,93.0,Mar-15,2.464,24.0,11.6,18.4,46.0,Regular,2015,3
2015-04-01,95.9,Apr-15,2.469,22.6,8.2,18.3,50.9,Regular,2015,4
2015-05-01,90.7,May-15,2.718,22.3,9.6,16.7,51.4,Regular,2015,5
2015-06-01,96.1,Jun-15,2.802,21.5,11.4,16.2,51.0,Regular,2015,6
2015-07-01,93.1,Jul-15,2.794,24.8,13.4,16.2,45.6,Regular,2015,7
2015-08-01,91.9,Aug-15,2.636,24.7,18.5,17.0,39.8,Regular,2015,8
2015-09-01,87.2,Sept-15,2.365,15.5,19.7,19.0,45.7,Regular,2015,9
2015-10-01,90.0,Oct-15,2.29,14.9,18.6,19.6,46.9,Regular,2015,10
2015-11-01,91.3,Nov-15,2.158,14.1,19.0,20.8,46.1,Regular,2015,11
2015-12-01,92.6,Dec-15,2.038,19.2,16.6,22.0,42.2,Regular,2015,12
2016-01-01,92.0,Jan-16,1.949,15.5,23.8,23.0,37.7,Regular,2016,1
2016-02-01,91.7,Feb-16,1.764,13.9,22.2,25.5,38.4,Regular,2016,2
2016-03-01,91.0,Mar-16,1.969,24.4,13.2,22.8,39.7,Regular,2016,3
2016-04-01,89.0,Apr-16,2.113,23.9,12.7,21.3,42.2,Regular,2016,4
2016-05-01,94.7,May-16,2.268,20.3,14.1,19.8,45.8,Regular,2016,5
2016-06-01,93.5,Jun-16,2.366,19.4,15.6,19.0,46.0,Regular,2016,6
2016-07-01,90.0,Jul-16,2.239,15.5,18.8,20.1,45.6,Regular,2016,7
2016-08-01,89.8,Aug-16,2.178,18.6,13.6,20.7,47.2,Regular,2016,8
2016-09-01,91.2,Sept-16,2.219,17.9,15.0,20.3,46.8,Regular,2016,9
2016-10-01,87.2,Oct-16,2.249,17.5,13.6,20.0,48.9,Regular,2016,10
2016-11-01,93.8,Nov-16,2.182,11.9,18.8,20.6,48.7,Regular,2016,11
2016-12-01,98.2,Dec-16,2.254,16.4,11.8,20.0,51.8,Regular,2016,12
2017-01-01,98.5,Jan-17,2.349,15.5,13.7,19.5,51.4,Regular,2017,1
2017-02-01,96.3,Feb-17,2.304,14.7,12.7,19.8,52.7,Regular,2017,2
2017-03-01,96.9,Mar-17,2.325,16.8,13.8,19.7,49.7,Regular,2017,3
2017-04-01,97.0,Apr-17,2.417,19.2,13.2,18.9,48.7,Regular,2017,4
2017-05-01,97.1,May-17,2.391,15.8,16.8,19.1,48.3,Regular,2017,5
2017-06-01,95.0,Jun-17,2.347,16.5,18.2,19.5,45.8,Regular,2017,6
2017-07-01,93.4,Jul-17,2.3,19.0,12.3,20.2,48.5,Regular,2017,7
2017-08-01,96.8,Aug-17,2.38,22.1,10.2,19.5,48.2,Regular,2017,8
2017-09-01,95.1,Sept-17,2.645,20.8,16.4,17.5,45.2,Regular,2017,9
2017-10-01,100.7,Oct-17,2.505,17.4,14.0,18.5,50.0,Regular,2017,10
2017-11-01,98.5,Nov-17,2.564,16.5,12.3,18.1,53.1,Regular,2017,11
2017-12-01,95.9,Dec-17,2.477,11.4,12.9,18.7,57.0,Regular,2017,12
2018-01-01,95.7,Jan-18,2.555,13.3,9.0,18.3,59.4,Regular,2018,1
2018-02-01,99.7,Feb-18,2.587,11.3,13.7,18.1,56.9,Regular,2018,2
2018-03-01,101.4,Mar-18,2.591,14.2,10.6,18.0,57.1,Regular,2018,3
2018-04-01,98.8,Apr-18,2.757,17.0,10.3,16.9,55.7,Regular,2018,4
2018-05-01,98.0,May-18,2.901,17.9,9.8,16.1,56.2,Regular,2018,5
2018-06-01,98.2,Jun-18,2.891,15.2,13.0,16.2,55.7,Regular,2018,6
2018-07-01,97.9,Jul-18,2.849,15.3,10.7,16.5,57.5,Regular,2018,7
2018-08-01,96.2,Aug-18,2.836,15.1,11.5,16.6,56.9,Regular,2018,8
2018-09-01,100.1,Sept-18,2.836,16.7,16.1,16.7,50.5,Regular,2018,9
2018-10-01,98.6,Oct-18,2.86,13.5,13.3,16.4,56.7,Regular,2018,10
2018-11-01,97.5,Nov-18,2.647,5.6,22.4,17.8,54.2,Regular,2018,11
2018-12-01,98.3,Dec-18,2.366,4.8,21.3,19.9,54.1,Regular,2018,12
2019-01-01,91.2,Jan-19,2.248,8.2,18.3,20.9,52.5,Regular,2019,1
2019-02-01,93.8,Feb-19,2.309,6.6,13.8,20.4,59.2,Regular,2019,2
2019-03-01,98.4,Mar-19,2.516,15.6,8.4,18.7,57.3,Regular,2019,3
2019-04-01,97.2,Apr-19,2.798,18.9,8.0,16.8,56.3,Regular,2019,4
2019-05-01,100.0,May-19,2.859,16.1,13.7,16.5,53.8,Regular,2019,5
2019-06-01,98.2,Jun-19,2.716,12.2,18.0,17.3,52.5,Regular,2019,6
2019-07-01,98.4,Jul-19,2.74,16.2,14.1,17.5,52.1,Regular,2019,7
2019-08-01,89.8,Aug-19,2.621,11.8,16.9,18.3,52.9,Regular,2019,8
2019-09-01,93.2,Sept-19,2.592,12.9,14.9,18.5,53.6,Regular,2019,9
2019-10-01,95.5,Oct-19,2.627,14.9,16.0,18.3,50.8,Regular,2019,10
2019-11-01,96.8,Nov-19,2.598,11.3,17.9,18.5,52.2,Regular,2019,11
2019-12-01,99.3,Dec-19,2.555,7.0,18.0,18.8,56.1,Regular,2019,12
2020-01-01,99.8,Jan-20,2.548,9.0,17.9,18.9,54.1,Regular,2020,1
2020-02-01,101.0,Feb-20,2.442,11.8,17.8,19.7,50.7,Regular,2020,2
2020-03-01,89.1,Mar-20,2.234,2.1,41.5,21.6,34.9,Regular,2020,3
2020-04-01,71.8,Apr-20,1.841,2.1,46.4,26.2,25.4,Regular,2020,4
2020-05-01,72.3,May-20,1.87,13.7,26.4,25.8,34.1,Regular,2020,5
2020-06-01,78.1,Jun-20,2.082,16.8,21.4,23.1,38.6,Regular,2020,6
2020-07-01,72.5,Jul-20,2.183,11.1,22.4,22.1,44.4,Regular,2020,7
2020-08-01,74.1,Aug-20,2.182,12.5,20.0,22.1,45.5,Regular,2020,8
2020-09-01,80.4,Sept-20,2.183,10.5,23.5,22.1,43.9,Regular,2020,9
2020-10-01,81.8,Oct-20,2.158,9.9,24.4,22.4,43.3,Regular,2020,10
2020-11-01,76.9,Nov-20,2.108,8.5,22.6,22.9,46.0,Regular,2020,11
2020-12-01,80.7,Dec-20,2.195,10.3,18.6,22.0,49.1,Regular,2020,12
2021-01-01,79.0,Jan-21,2.334,12.2,14.7,20.8,52.3,Regular,2021,1
2021-02-01,76.8,Feb-21,2.501,13.0,12.2,19.4,55.5,Regular,2021,2
2021-03-01,84.9,Mar-21,2.81,14.6,15.5,17.2,52.7,Regular,2021,3
2021-04-01,88.3,Apr-21,2.858,18.1,13.5,17.0,51.5,Regular,2021,4
2021-05-01,82.9,May-21,2.985,18.5,13.5,16.2,51.7,Regular,2021,5
2021-06-01,85.5,Jun-21,3.064,16.4,13.1,15.8,54.7,Regular,2021,6
2021-07-01,81.2,Jul-21,3.136,17.0,12.5,15.6,54.9,Regular,2021,7
2021-08-01,70.3,Aug-21,3.158,19.3,13.4,15.5,51.8,Regular,2021,8
2021-09-01,72.8,9/21/2024,3.175,16.5,15.1,15.4,52.9,Regular,2021,9
2021-10-01,71.7,Oct-21,3.291,16.8,11.2,14.9,57.0,Regular,2021,10
2021-11-01,67.4,Nov-21,3.395,13.0,17.8,14.4,54.7,Regular,2021,11
2021-12-01,70.6,Dec-21,3.307,11.5,20.5,14.8,53.1,Regular,2021,12
2022-01-01,67.2,Jan-22,3.315,14.6,13.0,14.9,57.5,Regular,2022,1
2022-02-01,62.8,Feb-22,3.517,14.2,11.2,14.1,60.5,Regular,2022,2
2022-03-01,59.4,Mar-22,4.222,17.5,12.1,11.7,58.7,Regular,2022,3
2022-04-01,65.2,Apr-22,4.109,17.1,10.5,12.0,60.4,Regular,2022,4
2022-05-01,58.4,May-22,4.444,25.5,4.5,11.1,58.9,Regular,2022,5
2022-06-01,50.0,Jun-22,4.929,27.3,7.6,10.0,55.1,Regular,2022,6
2022-07-01,51.5,Jul-22,4.559,17.9,16.9,11.0,54.2,Regular,2022,7
2022-08-01,58.2,Aug-22,3.975,15.3,15.1,12.6,57.0,Regular,2022,8
2022-09-01,58.6,Sep-22,3.7,19.5,10.7,13.5,56.3,Regular,2022,9
2022-10-01,59.9,Oct-22,3.815,21.7,11.3,13.1,53.9,Regular,2022,10
2022-11-01,56.7,Nov-22,3.685,13.3,17.9,13.6,55.2,Regular,2022,11
2022-12-01,59.8,Dec-22,3.21,8.9,17.8,15.6,57.8,Regular,2022,12
2023-01-01,64.9,Jan-23,3.339,20.2,10.4,15.0,54.5,Regular,2023,1
2023-02-01,66.9,Feb-23,3.389,19.7,12.7,14.8,52.8,Regular,2023,2
2023-03-01,62.0,Mar-23,3.422,23.5,11.4,14.7,50.4,Regular,2023,3
2023-04-01,63.7,Apr-23,3.603,22.6,12.4,14.0,51.1,Regular,2023,4
2023-05-01,59.0,May-23,3.555,21.1,15.3,14.2,49.4,Regular,2023,5
2023-06-01,64.2,Jun-23,3.571,24.2,14.4,14.1,47.3,Regular,2023,6
2023-07-01,71.5,Jul-23,3.597,24.9,10.8,14.1,50.2,Regular,2023,7
2023-08-01,69.4,Aug-23,3.84,25.3,11.3,13.2,50.2,Regular,2023,8
2023-09-01,67.9,Sep-23,3.836,19.4,12.3,13.2,55.0,Regular,2023,9
2023-10-01,63.8,Oct-23,3.613,7.3,21.5,14.0,57.2,Regular,2023,10
2023-11-01,61.3,Nov-23,3.318,8.1,19.6,15.3,57.0,Regular,2023,11
2023-12-01,69.7,Dec-23,3.134,8.3,19.4,16.2,56.2,Regular,2023,12
